index,TestQuestionID,KnowledgeID,q_Level
0,5282,1228,1
1,3919,902,1
2,3996,929,2
3,1613,376,1
4,5172,1104,1
5,4031,927,1
6,2530,619,2
7,156,37,1
8,1333,367,1
9,1429,339,1
10,1782,376,1
11,3726,848,1
12,3821,879,1
13,77,0,1
14,3837,905,1
15,1961,472,5
16,4637,1088,1
17,4155,954,3
18,4801,1119,1
19,1635,1271,3
20,5370,1244,2
21,5338,1241,1
22,5220,1104,1
23,1463,339,3
24,2169,516,3
25,3254,746,1
26,1299,327,1
27,4124,946,3
28,1546,342,1
29,1588,376,1
30,2314,569,1
31,4590,1079,1
32,594,94,1
33,583,1036,1
34,5609,165,1
35,451,98,1
36,3612,746,1
37,5461,199,1
38,1514,369,1
39,5325,1221,1
40,834,190,1
41,4334,996,1
42,2866,668,1
43,393,1221,2
44,4037,10,1
45,5298,1228,1
46,146,26,1
47,1293,300,1
48,3020,682,1
49,3112,583,1
50,2659,638,2
51,3913,902,1
52,5367,1246,1
53,438,167,1
54,3213,727,1
55,2015,483,1
56,1481,360,1
57,921,194,1
58,3640,746,1
59,4104,927,1
60,329,323,3
61,404,34,1
62,1343,339,1
63,861,194,1
64,5128,1104,1
65,80,1006,1
66,3120,715,1
67,2875,1266,2
68,5461,199,1
69,1852,1293,2
70,147,0,1
71,795,186,1
72,1473,360,1
73,2140,514,1
74,5612,193,1
75,4325,33,1
76,5367,1246,1
77,616,94,1
78,5371,610,2
79,2,1,1
80,319,57,1
81,4676,774,1
82,5188,1104,1
83,8,0,1
84,5347,1242,1
85,4476,1098,1
86,1773,423,3
87,2633,635,2
88,1038,230,3
89,900,194,1
90,3628,746,1
91,1693,376,1
92,299,57,3
93,1264,319,1
94,2890,638,2
95,5410,769,1
96,5540,1266,2
97,2119,505,3
98,1853,447,3
99,2984,682,1
100,2334,554,1
101,2313,554,1
102,3837,905,1
103,673,1104,1
104,2530,619,2
105,39,506,1
106,989,224,2
107,2544,618,2
108,2348,565,2
109,994,218,1
110,2026,483,1
111,4683,1078,1
112,2493,610,2
113,4183,939,1
114,2164,505,3
115,58,12,1
116,2140,514,1
117,2677,638,3
118,5138,1204,1
119,2640,610,2
120,426,89,3
121,1734,433,3
122,5476,208,2
123,1995,488,1
124,1473,360,1
125,1961,472,5
126,5577,1290,2
127,2140,514,1
128,819,190,1
129,895,194,1
130,4509,1042,1
131,648,147,1
132,2972,685,2
133,5282,1228,1
134,4587,1077,1
135,1231,300,1
136,3057,701,1
137,3697,746,1
138,4783,0,1
139,5463,1270,1
140,4516,711,2
141,2314,569,1
142,4676,774,1
143,751,190,1
144,4841,170,3
145,3104,714,1
146,5294,1221,3
147,3850,892,1
148,4610,1080,1
149,438,167,1
150,1502,372,2
151,5201,1207,1
152,165,34,1
153,3957,910,1
154,1066,215,3
155,1687,406,1
156,279,34,1
157,4722,1042,1
158,1635,1271,3
159,222,639,1
160,3720,845,1
161,5243,1104,1
162,3436,746,1
163,2914,677,2
164,921,194,1
165,4549,1071,1
166,5206,1213,1
167,5482,1266,3
168,3239,748,1
169,3719,825,1
170,4577,1077,1
171,648,147,1
172,5143,1206,1
173,2961,685,2
174,3623,829,1
175,5598,171,1
176,5044,1183,1
177,3862,879,1
178,3414,794,1
179,3124,715,1
180,4402,612,1
181,5470,1266,3
182,1828,445,3
183,2030,483,1
184,2576,610,2
185,5172,1104,1
186,4749,1104,1
187,95,31,1
188,367,34,1
189,2809,661,3
190,2869,638,2
191,5114,1200,1
192,3563,829,1
193,5128,1104,1
194,2592,610,1
195,416,34,3
196,4086,939,1
197,5249,1202,1
198,2385,572,2
199,3158,720,1
200,5338,1241,1
201,155,37,1
202,4742,1103,1
203,2666,638,3
204,4031,927,1
205,5516,1266,2
206,4590,1079,1
207,1544,347,2
208,3123,716,2
209,4292,1006,1
210,1392,352,2
211,3996,929,2
212,2929,638,2
213,5463,1270,1
214,3054,700,1
215,185,34,1
216,426,89,3
217,900,194,1
218,431,82,1
219,4577,1077,1
220,3518,746,1
221,3037,698,1
222,4638,1053,1
223,4870,1036,1
224,2148,514,1
225,616,94,1
226,1338,339,1
227,950,216,1
228,3981,916,1
229,2633,635,2
230,3144,996,1
231,3339,746,2
232,4189,0,1
233,5358,1244,1
234,1766,88,1
235,5191,1211,1
236,3177,166,1
237,2923,638,2
238,2727,639,2
239,4766,1104,3
240,4477,1050,1
241,3919,902,1
242,357,76,1
243,5482,1266,3
244,681,82,1
245,4103,532,3
246,1989,1238,2
247,2652,174,1
248,4296,996,1
249,1293,300,1
250,2626,629,2
251,3640,746,1
252,454,94,1
253,1953,461,3
254,4231,1104,1
255,809,185,1
256,4165,946,3
257,4637,1088,1
